Individu - Code Etudiant;Individu - Nom;Individu - Prénom;ELP (code);ELP - Note Indicateur
20160014;NOM14;PRENOM14;712MD110;14,095
20160014;NOM14;PRENOM14;712SEM12;14,054
20160014;NOM14;PRENOM14;712MD105;12,8
20160014;NOM14;PRENOM14;712MD102;11,125
20160014;NOM14;PRENOM14;712MD106;15,835
20160014;NOM14;PRENOM14;712MD117;15
20160015;NOM15;PRENOM15;712EN120;16
20160015;NOM15;PRENOM15;712MD104;13,5
20160015;NOM15;PRENOM15;712MD107;14,5
20160015;NOM15;PRENOM15;712MD114;14,875
20160015;NOM15;PRENOM15;712UE102;15,923
20160015;NOM15;PRENOM15;712MD109;16,7
20160015;NOM15;PRENOM15;712MD115;18,6
20160015;NOM15;PRENOM15;712MD117;16,7
20160015;NOM15;PRENOM15;712UE111;14,852
20160015;NOM15;PRENOM15;712MD101;15,593
20160015;NOM15;PRENOM15;712MD105;15,05
20160015;NOM15;PRENOM15;702FAC01;
20160015;NOM15;PRENOM15;712MD106;14,695
20160015;NOM15;PRENOM15;712MD110;15,258
20160015;NOM15;PRENOM15;712MD102;13,25
20160015;NOM15;PRENOM15;712MD103;10,5
20160015;NOM15;PRENOM15;712MD108;17,2
20160015;NOM15;PRENOM15;712MD116;14,25
20160015;NOM15;PRENOM15;712MD118;16
20160015;NOM15;PRENOM15;712SEM12;15,388
20160015;NOM15;PRENOM15;712MD111;16
20160015;NOM15;PRENOM15;712MD112;13,343
20160015;NOM15;PRENOM15;712MD113;18,75
20160016;NOM16;PRENOM16;712MD101;15,595
20160016;NOM16;PRENOM16;712MD104;15,5
20160016;NOM16;PRENOM16;712MD105;11,9
20160016;NOM16;PRENOM16;712MD108;15,4
20160016;NOM16;PRENOM16;712UE102;16,933
20160016;NOM16;PRENOM16;712MD111;17
20160016;NOM16;PRENOM16;712EN119;8,25
20160016;NOM16;PRENOM16;712MD103;17
20160016;NOM16;PRENOM16;712MD114;14,938
20160016;NOM16;PRENOM16;702FAC01;
20160016;NOM16;PRENOM16;712MD102;11,125
20160016;NOM16;PRENOM16;712MD110;14,69
20160016;NOM16;PRENOM16;712MD116;16,25
20160016;NOM16;PRENOM16;712MD117;17,8
20160016;NOM16;PRENOM16;712MD109;17,8
20160016;NOM16;PRENOM16;712MD113;19
20160016;NOM16;PRENOM16;712MD118;8,25
20160016;NOM16;PRENOM16;712SEM12;15,718
20160016;NOM16;PRENOM16;712UE111;14,503
20160016;NOM16;PRENOM16;712MD106;17,23
20160016;NOM16;PRENOM16;712MD107;16,5
20160016;NOM16;PRENOM16;712MD112;16,653
20160016;NOM16;PRENOM16;712MD115;19,563
20160017;NOM17;PRENOM17;712MD102;10,75
20160017;NOM17;PRENOM17;712MD103;11
20160017;NOM17;PRENOM17;712MD110;11,19
20160017;NOM17;PRENOM17;712MD111;12,333
20160017;NOM17;PRENOM17;712MD114;12,563
20160017;NOM17;PRENOM17;712MD116;15,5
20160017;NOM17;PRENOM17;712MD104;14,5
20160017;NOM17;PRENOM17;712MD106;13,71
20160017;NOM17;PRENOM17;712MD112;9,67
20160017;NOM17;PRENOM17;712MD115;9,563
20160017;NOM17;PRENOM17;712MD117;13,4
20160017;NOM17;PRENOM17;712MD118;13,785
20160017;NOM17;PRENOM17;712MD108;13,1
20160017;NOM17;PRENOM17;712MD109;13,4
20160017;NOM17;PRENOM17;712SEM12;12,327
20160017;NOM17;PRENOM17;712EN119;13,785
20160017;NOM17;PRENOM17;712MD101;12,58
20160017;NOM17;PRENOM17;712MD105;11,9
20160017;NOM17;PRENOM17;712MD107;13,5
20160017;NOM17;PRENOM17;712UE111;12,684
20160017;NOM17;PRENOM17;702FAC01;
20160017;NOM17;PRENOM17;712MD113;12,25
20160017;NOM17;PRENOM17;712UE102;11,969
20160018;NOM18;PRENOM18;712MD101;12,838
20160018;NOM18;PRENOM18;712MD115;6,388
20160018;NOM18;PRENOM18;712MD103;3,5
20160018;NOM18;PRENOM18;712MD110;5,935
20160018;NOM18;PRENOM18;702FAC01;
20160018;NOM18;PRENOM18;712MD104;16
